paso;fase;tarea;descripcion_inicial;estado;responsable;fecha_inicio;fecha_fin;evidencia_entrega
11;Fase B. Limpiar indicios y definir las etiquetas;Clasificar el contexto aurífero;"Geólogo: asignar `roca`, `aluvial`, `mixto`, `desconocido` y, cuando haya evidencia, sistema mineral específico. Revisar los 120 casos no aluvionares/no filonianos/no desconocidos antes de asignarlos a roca. Definir confianza y justificación. El modelo general puede usar positivos inciertos respecto a tipología si la presencia y posición de Au son fiables; los modelos específicos requieren tipología defendible. Salida: `etiquetas_au_revisadas.gpkg`.";Pendiente;;;;
12;Fase B. Limpiar indicios y definir las etiquetas;Medir representatividad y sesgo;EDA de depósitos por distrito, tipología, dominio, cobertura de capas y calidad. Informar registros, posiciones, depósitos y celdas positivas por separado. Estudiar concentración espacial y zonas de exploración histórica. La abundancia de registros puede reflejar geología y esfuerzo de observación: no atribuirla exclusivamente a uno. Salida: informe de etiquetas y propuesta de reservas espaciales.;Pendiente;;;;
13;Fase C. Construir la rejilla y armonizar las capas;Crear la máscara y rejilla territorial;"Definir una geometría española terrestre, ámbitos de modelización y estados de cobertura. La caja de los TIFF es de 1.100 × 910 km: a 500 m contiene 4.004.000 celdas y a 1 km, 1.001.000, incluyendo mar y territorio ajeno. Recortar con máscara independiente; el NoData geoquímico no representa la frontera nacional. Añadir área terrestre efectiva por celda y política para celdas costeras. Salida: `grid_1km` y su especificación de origen, transformada, extensión y CRS.";Pendiente;;;;
14;Fase C. Construir la rejilla y armonizar las capas;Fijar el soporte de extracción;"Para cada predictor decidir valor en centroide, proporción de superficie, distancia mínima de la celda o estadístico de ventana. Recomendación inicial: geología por fracciones y clase dominante; distancia desde centroide; densidades en ventanas; geoquímica por clase/proporciones; relieve por estadísticas agregadas. El soporte será idéntico para celdas positivas, U e inferencia. Salida: `feature_dictionary.csv`.";Pendiente;;;;
15;Fase C. Construir la rejilla y armonizar las capas;Reproyectar y sanear vectores;"Transformar coordenadas, convertir curvas a geometrías lineales con tolerancia documentada, tratar Z/M cuando no se usan y reparar geometrías inválidas con control de cambios. Conservar códigos de origen. Usar índice espacial y particiones; trabajar con margen alrededor del ámbito para no cortar el vecindario de una distancia o densidad. Salida: capas limpias por familia y métricas de cambios geométricos.";Pendiente;;;;
16;Fase C. Construir la rejilla y armonizar las capas;Alinear rásteres y máscaras;"Verificar igualdad exacta de CRS, origen, paso, forma, extensión y NoData. Clases: vecino más próximo o proporciones/moda al agregar; nunca bilinear sobre códigos. Elevación continua: remuestreo/agrupación apropiado según cambio de escala. Mantener máscara de cobertura y fracción válida; no confundir clase cero geoquímica con ausencia. Salida: rásteres alineados y controles de coincidencia de píxel.";Pendiente;;;;
17;Fase C. Construir la rejilla y armonizar las capas;Dibujar el mapa de cobertura real;Cuantificar por ámbito y familia: área válida, huecos, solapes, discontinuidades y positivos cubiertos. Revisar los cinco puntos Au sin geoquímica. Un porcentaje nacional de cobertura puede ocultar un distrito entero sin datos. Definir dónde funciona el conjunto básico y dónde se necesita una versión reducida o no se emite predicción. Salida: `coverage.gpkg` y tabla de decisiones de cobertura.;Pendiente;;;;
18;Fase D. Crear variables geocientíficas;Derivar litología, edad y unidades;"Crear diccionario geológico jerárquico desde `DESC_UNIT`, `Litologia`, `SISTEMA` y leyendas. Unificar variantes textuales; agrupar por conocimiento geológico sin usar y. Calcular litología dominante, fracciones de grupos principales, edad, presencia/proporción de granitoides, metasedimentos, materiales volcánicos y cuaternarios cuando sean cartografiables. Añadir proximidad a contactos intrusivos seleccionados. No convertir todo Paleozoico en una regla fija de favorabilidad. Salida: tabla/rásteres de geología con procedencia por celda.";Pendiente;;;;
19;Fase D. Crear variables geocientíficas;Derivar estructuras;"Construir una tabla explícita para `TIPO` y `DESC_LINE`: falla/cizalla, cabalgamiento, contacto intrusivo, otro contacto, pliegue y excluido. Excluir agua, límites políticos, bordes de hoja, escombreras, cortas y simbología. Separar observado/supuesto. Elegir una fuente preferente por zona y evitar sumar GEODE y MAGNA duplicados. Calcular distancias en metros y longitud/área en km/km² a 1, 5 y 10 km; no contar segmentos como densidad de fallas. Salida: `features_structural`.";Pendiente;;;;
20;Fase D. Crear variables geocientíficas;Añadir estructuras avanzadas solo con control;"Intersecciones reales frente a cruces artificiales, orientación axial mediante seno/coseno de doble ángulo, distancias a ejes de pliegue y, si se recuperan, estadísticas de buzamiento. Las intersecciones requieren tolerancia y saneamiento topológico; un cruce de trazas en un mapa no acredita una conexión mineralizante. Probar estas variables después de una base estable. Salida: bloque experimental separado.";Pendiente;;;;
21;Fase D. Crear variables geocientíficas;Reconstruir la geoquímica por clases;"Revisar paleta, umbrales y leyenda de cada elemento. El algoritmo existente asigna todo píxel opaco al color más cercano sin un umbral de rechazo: comprobar colores exactos, antialiasing y bordes. Guardar máscara de calidad de clasificación. Au/Hg están rotulados en ppb; As/Sb/Bi/Cu/Pb/Zn/W en ppm o mg/kg. Verificar esas unidades contra fuente. Seleccionar clase ordinal como primera representación; para modelos lineales comparar one-hot. Mantener mínimo, máximo y valor representativo como metadatos, no como cuatro evidencias independientes.";Pendiente;;;;
22;Fase D. Crear variables geocientíficas;Preparar una mejora geoquímica cuantitativa, si es viable;"Obtener puntos analíticos o ráster original con metadatos de muestreo, extracción, unidades, censura y límites de detección. Separar sedimento, suelo y roca. Una anomalía de sedimento integra transporte aguas arriba; no demuestra oro en roca bajo ese píxel. Si se construye interpolación propia, validarla espacialmente, documentar densidad y soporte, y distinguir datos externos disponibles a la fecha del estudio de información posterior. Salida: versión cuantitativa opcional, comparada con la base clasificada.";Pendiente;;;;
23;Fase D. Crear variables geocientíficas;Reconstruir relieve;"Auditar la banda de elevación y aplicar máscara terrestre independiente. Recalcular pendiente sin rellenar huecos con cero; usar vecindarios válidos y margen de cálculo. En el script actual, el TPI 3×3 a 500 m tiene un lado de 1,5 km, no radio de 1,5 km ni una definición inequívoca de TPI a 1 km. La banda denominada TRI se calcula como desviación típica local: renombrarla o implementar el índice de rugosidad elegido. Guardar fórmula, radio, unidades y tratamiento de bordes. Salida: elevación, pendiente, TPI con radios explícitos y rugosidad definida.";Pendiente;;;;
24;Fase D. Crear variables geocientíficas;Crear hidrología y predictores aluviales;"Para la base, distancia a cauce y densidad de red con limitación de cobertura conocida. Para aluvial: cartografiar terrazas y depósitos, incorporar MDT más fino, acondicionar drenaje, definir dirección/acumulación, cuencas, altura relativa al cauce y contexto aguas arriba. Distinguir terrazas antiguas de cauce actual; no restringir automáticamente los positivos a una franja arbitraria del río. Reservar cuencas/distritos para evitar que tramos conectados aparezcan a ambos lados del test. Salida: bloque aluvial y dominio de evaluación documentado. [Descargas oficiales de modelos de elevaciones del CNIG](https://centrodedescargas.cnig.es/CentroDescargas/modelos-digitales-elevaciones).";Pendiente;;;;
25;Fase D. Crear variables geocientíficas;Incorporar geofísica cuando sea cuantitativa;"Gravimetría: unidades y correcciones, anomalía de Bouguer u otra magnitud identificada; magnetometría: campo/anomalía, referencia y nivelado entre campañas; radiometría: canales y soporte real; magnetotelúrica: profundidad y naturaleza del modelo; petrofísica: ubicación, litología y representatividad. No interpolar una propiedad puntual sobre España sin soporte suficiente. Separar cobertura de campañas de valores físicos. Probar la mejora frente al conjunto básico en exactamente el mismo territorio de evaluación. Salida: modelos con geofísica como extensión, no requisito para V1.";Pendiente;;;;
26;Fase D. Crear variables geocientíficas;Construir `Grid_Master_Au`;"Unir por `cell_id` bloques de predictores, calidad, cobertura y etiquetas. Agregar múltiples indicios a una única celda y conservar tablas auxiliares de relación depósito–celda. No multiplicar filas por uniones muchos-a-muchos. Mantener las U como desconocidas. Guardar matriz en Parquet por particiones y geometrías aparte; no generar millones de polígonos pesados si fila/columna permiten reconstruirlos. Salida: matriz territorial versionada y manifiesto de variables permitidas.";Pendiente;;;;
27;Fase E. Diseñar la evaluación y el aprendizaje presencia–fondo;Congelar particiones externas y reserva final;"Construir bloques geográficos y asignar depósitos completos. Elegir tamaño a partir del objetivo de transferencia, dependencia espacial de covariables y distancias entre depósitos; contrastar, por ejemplo, 25/50/100 km como hipótesis, no valores universales. Introducir separación espacial entre entrenamiento y prueba y comprobar las distancias reales. Para aluvial considerar además conexión de cuencas. Buscar cinco particiones externas solo si los grupos lo permiten; reducirlas o replantear el ámbito si quedan particiones sin positivos. Salida: `spatial_splits` y mapa de grupos. La validación espacial requiere diseño explícito, no solo pasar números de grupo a `GroupKFold`. [Estudio sobre validación espacial](https://arxiv.org/abs/2005.14263).";Pendiente;;;;
28;Fase E. Diseñar la evaluación y el aprendizaje presencia–fondo;Separar prueba final y decisiones de desarrollo;Reservar distritos completos si el número de depósitos independientes lo permite. Usar validación anidada en desarrollo: bucle externo para evaluar el procedimiento y bucle interno para elegir variables, algoritmo e hiperparámetros. Si se escoge un ganador después de comparar sus resultados externos, informar la posible selección optimista y usar la reserva para comprobarlo. Si no hay datos suficientes para reserva adicional, declarar esa limitación y evaluar el procedimiento completo de selección dentro del anidamiento. Salida: protocolo de evaluación cerrado.;Pendiente;;;;
29;Fase E. Diseñar la evaluación y el aprendizaje presencia–fondo;Generar U de entrenamiento dentro de cada partición;"Muestrear únicamente en la región de entrenamiento, con cobertura y área elegible definidas sin mirar los positivos de prueba. Ensayar un fondo estratificado territorialmente y una alternativa ligada a esfuerzo de observación verificable. Los indicios de otros minerales pueden servir como contraste de sesgo, pero no son ausencias de Au. Probar ratios U:P de 1:1, 3:1 y 10:1 de forma escalonada; registrar probabilidades de inclusión y pesos cuando correspondan.";Pendiente;;;;
30;Fase E. Diseñar la evaluación y el aprendizaje presencia–fondo;Implementar referencia presencia–fondo y alternativa PU;Primera referencia: clasificar P frente a U seleccionadas, documentando que U contiene posibles positivos no registrados. Después comparar bagging de distintos subconjuntos U, manteniendo exactamente la evaluación espacial. Empezar con 3–5 realizaciones en el piloto y ampliar a unas 20 en la variante final si la estabilidad lo justifica. PU no elimina automáticamente el sesgo: estimar probabilidad absoluta requiere hipótesis adicionales sobre prevalencia y mecanismo de registro. No asumir que los positivos conocidos son una muestra aleatoria de toda mineralización. [Trabajo original sobre PU con selección dependiente de características](https://proceedings.mlr.press/v94/bekker18a.html).;Pendiente;;;;
31;Fase F. Entrenar y comparar modelos;Crear pipelines sin fuga de información;"Separar numéricas/categóricas y columnas auxiliares. Regresión logística/KNN/SVM: imputación en entrenamiento y escalado; árboles: sin escalado obligatorio. Categóricas: desconocido explícito y codificación compatible con categorías nuevas. Códigos geológicos no se tratan como magnitudes continuas. Ajustar cualquier selección de variables dentro de la partición interna. Comprobar también que el early stopping, la calibración interna de SVM y otros mecanismos no introducen particiones aleatorias inadvertidas. Salida: constructores de pipelines y pruebas contra filtración de columnas.";Pendiente;;;;
32;Fase F. Entrenar y comparar modelos;Entrenar referencias mínimas;Incluir ranking aleatorio/constante para comparación territorial, una regla geológica sencilla predefinida y regresión logística regularizada. Un árbol pequeño puede servir como explicación didáctica. Medir con el mismo protocolo que RF. No usar accuracy del modelo mayoritario como criterio principal. Salida: primeras predicciones espaciales fuera de entrenamiento y resultados de referencia.;Pendiente;;;;
33;Fase F. Entrenar y comparar modelos;Entrenar Random Forest;Usar la matriz limpia P/U y los grupos congelados. Referencia inicial sugerida: 500 árboles, `min_samples_leaf` 5, `max_features='sqrt'`, semilla fija y profundidad sin limitar como un candidato, no como ganador. Ajustar en búsqueda interna una selección acotada de profundidad, tamaño mínimo de hoja, fracción de variables y pesos de clase. Por ejemplo, profundidades 8/16/sin límite, hojas 2/5/10/20 y `max_features` sqrt/0,5, usando búsqueda aleatoria de unas 20–30 configuraciones antes de ampliar.;Pendiente;;;;
34;Fase F. Entrenar y comparar modelos;Comparar alternativas de forma gradual;"Primero ExtraTrees y un boosting; después XGBoost/LightGBM y CatBoost si la cardinalidad geológica lo justifica. Naïve Bayes, KNN y SVM pueden completar el cuaderno comparativo del estilo del vino, pero no son dependencias del MVP. Mantener un presupuesto comparable de búsqueda, preprocesamiento adecuado y el mismo fondo de prueba. SVM/KNN pueden ser costosos al predecir todo el territorio. Salida: tabla de métricas, estabilidad por distrito, tiempo y memoria; ningún algoritmo gana por nombre.";Pendiente;;;;
35;Fase F. Entrenar y comparar modelos;Ejecutar ablaciones y sensibilidad;"Comparar geología+estructuras; añadir relieve; añadir geoquímica sin Au; añadir Au; añadir hidrología; añadir geofísica donde exista. Contrastar clases frente a representación alternativa y 1 km frente a 500 m. Evaluar cambios en etiquetas de baja confianza, fondo y buffers. El contraste sin Au geoquímico muestra la dependencia de esa evidencia, pero Au externo no es fuga por sí mismo: se debe revisar su procedencia y posible influencia de minería/contaminación histórica. No explorar todo el producto cartesiano de modelos, radios, resoluciones y semillas. Salida: evidencia de qué bloques aportan mejora transferible.";Pendiente;;;;
36;Fase G. Validar, explicar y decidir si el modelo se acepta;Calcular métricas espaciales y territoriales;Predecir todas las celdas evaluables del bloque retenido, no solo el fondo muestreado. Ordenar el territorio por score y medir depósitos independientes recuperados al priorizar 1/5/10 % del área terrestre elegible. En depósitos con varias celdas, definir antes cuándo se considera recuperado y contarlo una sola vez. Tratar empates de score con una regla reproducible que no use etiquetas. Informar por distrito, tipología, cobertura y tamaño de bloque.;Pendiente;;;;
37;Fase G. Validar, explicar y decidir si el modelo se acepta;Explicar el modelo sobre datos retenidos;"Importancia por permutación por familia y por variable, SHAP en muestras espaciales y fichas de casos acertados/fallidos. Revisar artefactos de hojas, costa, cobertura, rutas de campañas y unidades raras. Variables correlacionadas reparten o enmascaran importancias; no interpretar un único gráfico como causalidad. Si las explicaciones motivan cambios, estos vuelven al circuito de desarrollo; el test final deja de ser final si se usa repetidamente para rediseñar.";Pendiente;;;;
38;Fase G. Validar, explicar y decidir si el modelo se acepta;Estimar estabilidad y aplicabilidad;"Guardar dispersión entre semillas/fondos, particiones y modelos, indicando qué cambia en cada comparación. Reportar percentiles o desviación como estabilidad del procedimiento, no como intervalo de confianza físico de presencia de Au. Construir distancia/disimilitud en espacio de predictores y umbrales estimados desde entrenamiento/validación; marcar categorías geológicas nuevas y patrones de falta de datos. No inventar un umbral universal. Salida: score, estabilidad y máscara/índice de aplicabilidad. [Método de área de aplicabilidad de Meyer y Pebesma](https://arxiv.org/abs/2005.07939).";Pendiente;;;;
39;Fase G. Validar, explicar y decidir si el modelo se acepta;Revisar criterios de aceptación;"Propuesta técnica: trazabilidad y pruebas críticas superadas; mejora territorial estable sobre referencias; desempeño reportado por distrito; ausencia de artefactos dominantes; cobertura/aplicabilidad explícitas; capacidad de reproducir inferencia. Como criterio estadístico deseable, la mejora pareada de recuperación al 5 % del área debe sostenerse al re-muestrear grupos. El umbral operativo de utilidad se fijará antes de evaluar, según el área que el equipo pueda investigar. No prometer AUC >0,9 ni que 790 registros garanticen un buen modelo. Si falla, volver a etiquetas/capas/muestreo y no publicar una versión como validada.";Pendiente;;;;
40;Fase H. Generar mapas, objetivos y una entrega mantenible;Reentrenar y predecir;Una vez cerrado el diseño y obtenida la evaluación final, entrenar el modelo seleccionado con los datos autorizados para la entrega. Si se incorporan las antiguas zonas de test al ajuste final, conservar el resultado de evaluación anterior y distinguirlo de predicciones ajustadas. Inferir por bloques de celdas con el mismo pipeline, orden de columnas y máscaras. Salida: GeoTIFF/COG por modelo geológico, con NoData fuera de su dominio.;Pendiente;;;;
41;Fase H. Generar mapas, objetivos y una entrega mantenible;Crear objetivos geológicos;"Delimitar áreas contiguas de alta favorabilidad con umbral de área fijado; documentar tamaño mínimo y cualquier suavizado. Mantener separados objetivos de roca y aluviales. Añadir área, score, estabilidad, aplicabilidad, coberturas, principales evidencias y cercanía a indicios conocidos solo como información posterior. No sumar los scores de modelos específicos ni usar `1-(1-p_roca)(1-p_aluvial)` como si fueran probabilidades independientes. Una vista general puede presentar ambos paneles o un ranking combinado claramente definido.";Pendiente;;;;
42;Fase H. Generar mapas, objetivos y una entrega mantenible;Validar objetivos y preparar campañas;"Revisión experta de fichas y cartografía; seleccionar zonas de favorabilidad alta estable, alta incierta y algunos controles de menor score. Planificar observaciones/muestreo con protocolos y registro de negativos verificados cuando existan, sin confundir una visita sin hallazgo con ausencia demostrada. Registrar el diseño de campaña para evaluar el sistema prospectivamente. La selección de accesos y restricciones operativas se hará sobre la capa geológica, conservando ambos resultados separados.";Pendiente;;;;
43;Fase H. Generar mapas, objetivos y una entrega mantenible;Entregar y versionar;"Proyecto QGIS con rutas relativas, mapas, objetivos, matriz, modelos completos, catálogo, diccionario y reporte. Añadir inferencia por coordenada que devuelva celda, versión, score, estado de cobertura y aplicabilidad; rechazar de forma informativa puntos fuera de dominio. Ejecutar desde un entorno limpio una reproducción del piloto y un control de igualdad de inferencia por lote/punto.";Pendiente;;;;
44;Fase H. Generar mapas, objetivos y una entrega mantenible;Mantener el proyecto;Actualización de fuentes con hashes, comparación de etiquetas/cobertura, incorporación controlada de campañas y revalidación antes de sustituir el modelo. Conservar versiones anteriores y fechas de información disponibles. El producto se amplía cuando mejora la evidencia, no solo al añadir más algoritmos.;Pendiente;;;;
