variable,familia,rol,uso,significado,unidades,fundamento_predictivo,limitaciones,fuente,metodo,tipo,n_faltantes,faltantes_pct,n_distintos,rango_o_ejemplos
geoquimica_bi_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para bismuto.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
geoquimica_hg_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para mercurio.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
geoquimica_cu_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para cobre.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
geoquimica_pb_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para plomo.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,2245,0.0 … 1.0
geoquimica_zn_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para zinc.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,1639,0.0 … 1.0
geoquimica_w_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para wolframio.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,1804,0.0 … 1.0
elevacion_media_m_valid_fraction,Calidad de relieve,auxiliar_no_predictor,Excluir de X,Área terrestre con valor finito de elevacion_media_m / área terrestre total de la celda.,fracción 0–1,Controla la aceptación del agregado de relieve.,"No es relieve, pendiente ni rugosidad; exige ≥0,95 para conservar el predictor.",Fases C/D; código y configuración,,float64,0,0.0,1,1.0 … 1.0
pendiente_grados_valid_fraction,Calidad de relieve,auxiliar_no_predictor,Excluir de X,Área terrestre con valor finito de pendiente_grados / área terrestre total de la celda.,fracción 0–1,Controla la aceptación del agregado de relieve.,"No es relieve, pendiente ni rugosidad; exige ≥0,95 para conservar el predictor.",Fases C/D; código y configuración,,float64,0,0.0,3118,0.0 … 1.0
tpi_1000m_m_valid_fraction,Calidad de relieve,auxiliar_no_predictor,Excluir de X,Área terrestre con valor finito de tpi_1000m_m / área terrestre total de la celda.,fracción 0–1,Controla la aceptación del agregado de relieve.,"No es relieve, pendiente ni rugosidad; exige ≥0,95 para conservar el predictor.",Fases C/D; código y configuración,,float64,0,0.0,1952,0.0 … 1.0
desv_elevacion_1000m_m_valid_fraction,Calidad de relieve,auxiliar_no_predictor,Excluir de X,Área terrestre con valor finito de desv_elevacion_1000m_m / área terrestre total de la celda.,fracción 0–1,Controla la aceptación del agregado de relieve.,"No es relieve, pendiente ni rugosidad; exige ≥0,95 para conservar el predictor.",Fases C/D; código y configuración,,float64,0,0.0,1952,0.0 … 1.0
tpi_5000m_m_valid_fraction,Calidad de relieve,auxiliar_no_predictor,Excluir de X,Área terrestre con valor finito de tpi_5000m_m / área terrestre total de la celda.,fracción 0–1,Controla la aceptación del agregado de relieve.,"No es relieve, pendiente ni rugosidad; exige ≥0,95 para conservar el predictor.",Fases C/D; código y configuración,,float64,0,0.0,12,0.0 … 1.0
desv_elevacion_5000m_m_valid_fraction,Calidad de relieve,auxiliar_no_predictor,Excluir de X,Área terrestre con valor finito de desv_elevacion_5000m_m / área terrestre total de la celda.,fracción 0–1,Controla la aceptación del agregado de relieve.,"No es relieve, pendiente ni rugosidad; exige ≥0,95 para conservar el predictor.",Fases C/D; código y configuración,,float64,0,0.0,12,0.0 … 1.0
cauce_sin_traza_en_10000m,Calidad de trazas,auxiliar_no_predictor,Excluir de X,Verdadero cuando no hay distancia finita a cauce dentro de 10000 m.,booleano,Indicador de búsqueda sin resultado; ayuda a interpretar el NaN de distancia.,No demuestra ausencia de estructura/cauce ni que la zona haya sido levantada. Excluido de la lista de predictores.,Fases C/D; código y configuración,,bool,0,0.0,2,False … True
hydrology_soporte_terrestre_1000m,Soporte de vecindario,auxiliar_no_predictor,Excluir de X,Área terrestre ponderada de la ventana de radio 1000 m dividida por el área de la ventana discretizada usada en densidades.,fracción ≈0–1,Controla el denominador efectivo junto a costas y límites.,No mide porcentaje de estructuras/cauces observados ni cobertura de campaña; pequeñas desviaciones numéricas pueden deberse a la convolución.,Fases C/D; código y configuración,,float64,0,0.0,12226,0.03639710891793203 … 1.000000000000001
hydrology_soporte_terrestre_5000m,Soporte de vecindario,auxiliar_no_predictor,Excluir de X,Área terrestre ponderada de la ventana de radio 5000 m dividida por el área de la ventana discretizada usada en densidades.,fracción ≈0–1,Controla el denominador efectivo junto a costas y límites.,No mide porcentaje de estructuras/cauces observados ni cobertura de campaña; pequeñas desviaciones numéricas pueden deberse a la convolución.,Fases C/D; código y configuración,,float64,0,0.0,29607,0.028286446680885126 … 1.000000000000001
hydrology_soporte_terrestre_10000m,Soporte de vecindario,auxiliar_no_predictor,Excluir de X,Área terrestre ponderada de la ventana de radio 10000 m dividida por el área de la ventana discretizada usada en densidades.,fracción ≈0–1,Controla el denominador efectivo junto a costas y límites.,No mide porcentaje de estructuras/cauces observados ni cobertura de campaña; pequeñas desviaciones numéricas pueden deberse a la convolución.,Fases C/D; código y configuración,,float64,0,0.0,48907,0.120610047196506 … 1.0000000000000009
hydrology_cobertura_levantamiento_acreditada,Calidad de levantamiento,auxiliar_no_predictor,Excluir de X,Bandera de acreditación de cobertura del levantamiento estructural o hidrográfico; el código la fija en falso.,booleano,"Control científico de disponibilidad, sin señal geológica.",Falso no significa territorio sin fallas/cauces. Es constante en esta ejecución.,Fases C/D; código y configuración,,bool,0,0.0,1,False … False
fase_c_valid_relieve,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de relieve heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1,1.0 … 1.0
fase_c_valid_geoquimica_au,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_au heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
fase_c_valid_geoquimica_as,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_as heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
fase_c_valid_geoquimica_sb,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_sb heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1819,0.0 … 1.0
fase_c_valid_geoquimica_bi,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_bi heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
fase_c_valid_geoquimica_hg,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_hg heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
fase_c_valid_geoquimica_cu,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_cu heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
fase_c_valid_geoquimica_pb,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_pb heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,2245,0.0 … 1.0
fase_c_valid_geoquimica_zn,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_zn heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
fase_c_valid_geoquimica_w,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de geoquimica_w heredada de C: área terrestre con píxeles considerados válidos en la armonización de C.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
fase_c_valid_litologia,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de litologia heredada de C: ocupación por polígonos estimada a 500 m y ponderada por tierra.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1458,0.0 … 1.0
fase_c_valid_edades,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de edades heredada de C: ocupación por polígonos estimada a 500 m y ponderada por tierra.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,1458,0.0 … 1.0
fase_c_valid_recintos,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,Fracción de soporte de recintos heredada de C: ocupación por polígonos estimada a 500 m y ponderada por tierra.,fracción 0–1,Diagnóstico de cobertura previo a la extracción de predictores en D.,No es booleano pese a valid_. No incorpora todos los controles posteriores de D; en geoquímica no sustituye valid_rgb; en geología no sustituye intersecciones exactas y conflictos.,Fases C/D; código y configuración,,float64,0,0.0,2453,0.0 … 1.0
fase_c_coverage_code,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,"Código: 1 costera con tierra <50 %; 2 geología, relieve y los nueve elementos con soporte ≥95 %; 3 geología y relieve suficientes sin los nueve elementos completos; 4 soporte insuficiente.",código 1–4,Resume reglas de soporte para diagnóstico.,"Categoría administrativa de cobertura, no orden de probabilidad de oro. La regla costera tiene prioridad; recintos no interviene en este código.",Fases C/D; código y configuración,,int64,0,0.0,4,1 … 4
fase_c_coverage_decision,Cobertura heredada de C,auxiliar_no_predictor,Excluir de X,"Texto equivalente al código C: costera_baja_fraccion, soporte_basico_candidato, candidato_reducido_sin_geoquimica_completa o soporte_insuficiente.",categoría,Facilita interpretar decisiones de soporte.,Redundante con fase_c_coverage_code; excluir de X.,Fases C/D; código y configuración,,str,0,0.0,4,"soporte_basico_candidato: 482,830; candidato_reducido_sin_geoquimica_completa: 8,053; costera_baja_fraccion: 3,221; soporte_insuficiente: 2,751"
fase_c_prediction_allowed,Estado de validación,auxiliar_no_predictor,Excluir de X,Bandera de permiso científico de predicción; heredada de C.,booleano,Expresa el estado del proceso de revisión.,No es probabilidad ni resultado del modelo. En la ejecución examinada todas las celdas tienen falso.,Fases C/D; código y configuración,,bool,0,0.0,1,False … False
fase_c_entity_present_magnetometriaradiometria,Capas adicionales: presencia,auxiliar_no_predictor,Excluir de X,Indica si hay alguna entidad de magnetometriaradiometria en la celda rasterizada; valores 0/1.,indicador 0/1,"Inventario de disponibilidad, no propiedad física.","No mide campo magnético, radiactividad, resistividad, densidad, buzamiento ni petrofísica; no acredita cobertura total. Puede reproducir sesgo de campañas.",Fases C/D; código y configuración,,float64,0,0.0,2,0.0 … 1.0
fase_c_entity_present_magnetotelurico,Capas adicionales: presencia,auxiliar_no_predictor,Excluir de X,Indica si hay alguna entidad de magnetotelurico en la celda rasterizada; valores 0/1.,indicador 0/1,"Inventario de disponibilidad, no propiedad física.","No mide campo magnético, radiactividad, resistividad, densidad, buzamiento ni petrofísica; no acredita cobertura total. Puede reproducir sesgo de campañas.",Fases C/D; código y configuración,,float64,0,0.0,2,0.0 … 1.0
fase_c_entity_present_medidasestructurales,Capas adicionales: presencia,auxiliar_no_predictor,Excluir de X,Indica si hay alguna entidad de medidasestructurales en la celda rasterizada; valores 0/1.,indicador 0/1,"Inventario de disponibilidad, no propiedad física.","No mide campo magnético, radiactividad, resistividad, densidad, buzamiento ni petrofísica; no acredita cobertura total. Puede reproducir sesgo de campañas.",Fases C/D; código y configuración,,float64,0,0.0,2,0.0 … 1.0
fase_c_entity_present_petrofisica,Capas adicionales: presencia,auxiliar_no_predictor,Excluir de X,Indica si hay alguna entidad de petrofisica en la celda rasterizada; valores 0/1.,indicador 0/1,"Inventario de disponibilidad, no propiedad física.","No mide campo magnético, radiactividad, resistividad, densidad, buzamiento ni petrofísica; no acredita cobertura total. Puede reproducir sesgo de campañas.",Fases C/D; código y configuración,,float64,0,0.0,2,0.0 … 1.0
fase_c_entity_present_buzamientos,Capas adicionales: presencia,auxiliar_no_predictor,Excluir de X,Indica si hay alguna entidad de buzamientos en la celda rasterizada; valores 0/1.,indicador 0/1,"Inventario de disponibilidad, no propiedad física.","No mide campo magnético, radiactividad, resistividad, densidad, buzamiento ni petrofísica; no acredita cobertura total. Puede reproducir sesgo de campañas.",Fases C/D; código y configuración,,float64,0,0.0,2,0.0 … 1.0
fase_c_footprint_cuaternariorecintos,Capas adicionales: huella,auxiliar_no_predictor,Excluir de X,"Fracción estimada de área terrestre cubierta por polígonos de cuaternariorecintos, rasterizados a 500 m.",fracción 0–1,Diagnóstico espacial de huella de una capa.,No codifica la edad/tipología específica de depósitos cuaternarios ni la identidad de zona GEODE; no es cobertura acreditada de investigación.,Fases C/D; código y configuración,,float64,0,0.0,19,0.0 … 1.0
fase_c_entity_present_gravimetria,Capas adicionales: presencia,auxiliar_no_predictor,Excluir de X,Indica si hay alguna entidad de gravimetria en la celda rasterizada; valores 0/1.,indicador 0/1,"Inventario de disponibilidad, no propiedad física.","No mide campo magnético, radiactividad, resistividad, densidad, buzamiento ni petrofísica; no acredita cobertura total. Puede reproducir sesgo de campañas.",Fases C/D; código y configuración,,float64,0,0.0,2,0.0 … 1.0
